tweet,label
"#Deppression is real. Partners w/ #depressed people truly dont understand the depth in which they affect us. Add in #anxiety &amp;makes it worse 
",0
"@user Interesting choice of words... Are you confirming that governments fund #terrorism? Bit of an open door, but still... 
",1
"My visit to hospital for care triggered #trauma from accident 20+yrs ago and image of my dead brother in it. Feeling symptoms of #depression 
",1
"@user Welcome to #MPSVT! We are delighted to have you! #grateful #MPSVT #relationships 
",0
"What makes you feel #joyful? 
",2
"i am revolting. 
",0
"Rin might ever appeared gloomy but to be a melodramatic person was not her thing.\n\nBut honestly, she missed her old friend. The special one. 
",0
"In need of a change! #restless 
",3
"@user @user #cmbyn does screen  August 4 &amp; 6 at #miff 
",1
"@user Get Donovan out of your soccer booth. He's awful. He's bitter. He makes me want to mute the tv. #horrid 
",3
"@user how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon.  
",3
"Pressured. 😦 
",1
"Yes #depression &amp; #anxiety are real but so is bein #grateful &amp; #happiness \nI choose how i wanna live MY life not some disorder 
",1
"People who say nmu are the worst, something has to be going on, tell me I wanna know bout your life that's why I fucking asked, I care 😤 
",0
"@user The hatred from the Left ought to concern everyone----who wants a police state-the left, so than can spy on all of us. 
",1
"@user #shocking loss of talented young man#prayers#pray for his family 
",1
"Its #amazing watching various news outlets showing mixed crowds of ppl watching #Eclipse with NO #racial tension.. #MSM can't hide this! 
",1
"That moment when people say you don't need medicine, it's mind over matter. You need to stop doing that. #bipolar  
",2
"@user @user Please. Don't insult Goths. 
",1
"@user What an F'ing liar  
",1
"May or may not have just pulled the legal card on these folks. #irritated 
",1
"Me: 'I miss your personality,will it come back?' Him: 'I'm sorry.I'm me. You be you.' #Sad #depressed #longdistancerelationship 
",2
"Comparing yourself to others is one of the root causes for feelings of unhappiness and depression. 
",1
"@user @user Americans do not spank their children, and they are a God fearing people who knows the biggest sin is hypocrisy. 
",2
"The only upside to being deathly ill this week is that I've gotten better at taking pills. #optimism 
",1
"Favorite character who's name starts with the letter M?\n #Prisonbreak5  #The100 #GreysAnatomy 
",2
"I'm so nervous I could puke + my body temp is rising ha ha ha ha ha 
",3
"I cannot see a rational way of bearing a grudge to him for that. I do not. Maybe because I do not live by Netflix and I do not care... 
",1
"And let the depression take the stage once more 🙃 
",1
"I love swimming for the same reason I love meditating...the feeling of weightlessness.  
",2
"@user Is it just me that thinks it looks boring?  
",0
",, The solar eclipse was really cool.. #inspiring! 
",1
"@user Really??? I've had to hang up!  
",3
"When Jim Sheridan is standing next to you and you don't say A WORD!!! #facepalm #tonguetied  
",3
"@user -- can handle myself.\n[Carl yelled back in fury, blood smeared across his face and clothes. Still holding onto his -- 
",1
"@user @user there was a fair bit of raging folk last night... something to do with pension day? 
",1
"@user No #racism, no #hatred , no #sectarianism  ... Only yes to love 
",3
"sleep is and will always be one of the best remedies for a tired and weary soul 
",2
"@user where is my order? Placed on Monday via express delivery, yet no sign!!! #annoyed #hurryup Your customer service queues are #awful 
",2
"yukwon no video do zico the world is shaking 
",1
"BUT, I have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk. 
",2
"@user - spelled exactly how it makes you feel 'better eat land line'. Talking to my mom this week has been impossible. #goodservice #rage 
",0
"@user John, what do you make of DJT's silence? He would usually be foaming at the mouth right now. Maybe he's constipated. 
",1
"@user happy birthday machaaaa 🎈🎉🎊 stay awesome and murah rezeki selalu 👍🏻 
",2
"When you should be working, but you're shopping amazon prime deals instead... 😦 
",3
"Karma is real bitch 🖕🏼you can't just be mean and do horrid things without paying the price 😂 
",1
"@user @user Agree with @user or you are of a lower intelligence would be your message there then? #dreadful 
",2
"@user Rumor has you are #wellendowed #awesome! Truth is you are a #big 😲 #notsomuch so you know a bunch of #gaypeople #sowhat 
",1
"IK to PMLN: 'Darling, I will haunt you in your nightmares, dressed like a dream.' BEST THING EVER. #GameOverNawaz 
",2
"OMG we're eating drinking in a restaurant and  so is a baby!!! Quell horror #YummyMummiesAU 
",0
"hello phy6 i'm stressing over u ayuku na??¿ ☹ 
",3
"There are parts of you that wants the sadness. Find them out, ask them why 
",2
"Are you always looking for quotes of your days? Then follow @user to learn more!\n #quote  #doubleviz 
",3
"@user huhu kak help me through all of this  
",1
"Let's start all over again.....\n#feels #lover #happiness #loyalty #truth 
",1
"Earth's sixth mass extinction event under way, scientists warn **basically  caused by Islamic Muslim terrorism which Obama dem- rats back* 
",0
"Some days I feel like I'm going to accomplish everything I've ever dreamed.  Today is not one of those days #nomotivation #rainyday #gloomy 
",3
"For every one concept I try to cram into my brain, I feel like I'm pushing out three. #panic 
",0
"“The #optimist proclaims that we live in the best of all possible worlds; and the #pessimist fears this is true.” ~ James Branch Cabell 
",1
"Red Sox fans are #mad #onhere - it's almost like their All Star relief pitcher and 1st baseman both left with injuries in this game 🤷🏻‍♀️ 
",1
"@user - @user has occupied one full lane for toll collection permanently resulting in traffic snarl everyday on UP Link Road 
",1
"I've never been happier. I'm laying awake as I watch @user sleep. Thanks for making me happy again, babe. 
",2
"#Overheard: 'I don't really like dogs.' I DON'T FEEL SAFE IN THIS PLACE. Clearly a hostile environment!  #bigly #covfefe #TrustNoOne 
",2
"@user Hahaaa! Was fuming with that 😞😂 
",0
"@user lel I already know the whole plot dont worry I would have warned you :D man... Cid tho... That bitch slapped Gabranths hand away 
",2
"Aw, bummer. @user (Maura Rankin) blocked me for calling her out as a #bully. Some people just #CantHandleTheTruth, can they? 
",3
"@user is the man  
",1
"Gorkas is angrily unhinged, &amp;lecturing CNN on what?they should cover demanding they go after Hillary Clinton instead of Trump. 
",3
"Request MRI 2 years ago, Neuro only requested last year, I'm still waiting on appointment  #mssucks #healthcareFail 
",0
"@user @user a serious character flaw. Nowhere close to @user 
",2
"'I have a problem with authority.'\n\n'Oh, you mean you hate being told what to do?'\n\n'No. Authority figures just terrify me.'\n\n#SocialAnxiety 
",3
"@user Improve on the makeup dear to avoid reduction in viewership...  
",2
"omg i'm soooo fucking fuming 
",0
"Pages like AjPlus profit off our outrage... they serve no purpose other than to show us shit that pisses us off. Don't need that negativity 
",2
"Trying my hardest not to curse people off. I look annoyed for a reason don't tell me to smile bitch! 
",3
"@user please get Sebstian Gorka off of my tv.  The whole trump admin. needs to stop deflecting by talking about Hillary.  #awful 
",2
"@user I have at 7am so I have to get up around 5am to get ready! N also 7am classes are never pleasant 😭 
",3
"@user Couldn't have delivered without you @user - #inspiring #partnership #women 
",1
"“Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up.”\nGalatians 6:9 NIV 
",2
"omg they said kyungsoo looked gloomy and his instant smile after that i'm melting 
",2
"@user agreed but it had tessie by dropkicks playing outside of gameplay.  #awful 
",3
"@user @user @user FYI speed trap on I-75/I-475 NB.Changes to 50 Mph . Slow down or receive a $120 ticket in mail! #angry 
",3
"love to see them interacting 😸🙏 #itsbeensolong #laughing 
",1
"@user I don't know my mouth was burning the whole time 
",1
"A woman is sterilised because she is certain that she doesn't want children. What exactly is there to discuss? 😠 #LooseWomen 
",2
"Not only was @user and @user responsible for the unnecessary outrage of this movie, but made the director @user look bad 
",3
"This the way I rage, \n\non sum wopstar shit ⭐️ 
",2
"#happy #birthday #day trip #great day #super nice weather #blue sky #good mood #fun #love #ice cream #lycklig #födelsedag #öland 
",3
"@user Yeah funny and sexy 😍 
",3
"#depression is a condition which will affect an estimated one in five of the population at some point in their lives 
",3
"@user I Feel sick reading this, when does it end? #dread #civil war? #sad 
",3
"@user 😂 He looked like a sea weed version of cousin IT from adams family and was reaaaally tall. 
",0
"how i drink two 40s and im still somewhat sober ? 
",2
"Oh Canada 🇨🇦 shouldn't be sung like that. #terrible #MLBTHESHOW17 
",1
"Mima tremendous at bringing the noise. 
",1
"@user Lol nah u subscrib 4 R60/pm. N pay R3 each day thus anada R90/pm. Lol stream n use de app using ur data. #smiles 
",1
"Damn twitter making everybody mad, it's hilarious 😂 
",3
"this #overcast #cloudy #rainy weather makes me #lazy #glum and #sad 
",3
"this person hasn't uploaded episode six or seven of the lodge and i'm  
",0
"@user That'll be Madrid throwing a huff over Morata and De Gea. Fuck them 
",3
"I think #Saudis are responsible for most of the #islamic #terror in the world. Both with their #Wahhabism and by financing terrorists … 
",1
"🔝 #love #instagood #photooftheday @user #photoeveryday #cute #picture #beautiful #followme #happy #follow #fashion #pic #picoftheday 
",2
"Of course I've got a horrible cold and am breaking out 2 days before grad 👍🏼👍🏼👍🏼👍🏼👍🏼 
",2
"@user @user You are a man after God's heart and I am proud that you are my president.  #BlessedAndGrateful #awesomeness 
",1
"@user @user if I catch you making tea with water boiled up to 100 degrees, there will be dire consequences 
",0
"@user Wise you mean? 😅 
",2
"@user big revenge guy 
",1
"Remain attached to God during your happiness and during your sadness. 
",0
"@user Jen, awful funny how the tide has turned on this show! I am elated and amused! Goes from love fest to oh we have collusion! 
",2
"Odd watching #Antifa extremists going full spectrum to become Fascists\n\n#Violence #Hate #angry #Clueless #YOUTH in mom's #basement come out 
",2
"#Work not to  
",3
"@user @user I'm fuming that you're fuming 🙄 #fuming 
",1
"@user @user @user I bet he needed to take an anime break and drink a Zima after all the furious typing. 
",1
"@user Exhausting for us. Imagine being so tightly wrapped that you're writing these 'think pieces' at such a furious rate. #medicated 
",0
"Haven't been on a holiday abroad in two years how depressing is that btw☹️ 
",1
"sardonyx expresses herself through supporting the team with your incredible yo-yo skills and depression okay 
",2
"@user OMG poor you! It happened to me last summer. I saw my under skin 😰 
",1
"The patients were increasingly protected during heart attacks, chains have encouraged smoke, anger and hundreds of new hospitals. 
",2
"@user you look shook! #afraid #shook #impeach #youaregoingdown 
",3
"Just added a copy of CANDIDE to my local Little Free Library &amp; a guy grabbed it literally 5 seconds later #optimism #BestOfAllPossibleWorlds 
",3
"I feel so intimidated talking to chicken now that I know how pretty she is 
",3
